movie_title,budget_2017
Ratatouille ,176745305.72941744
Batman Begins ,187646958.59601295
Madagascar: Escape 2 Africa ,170216383.30757344
Night at the Museum: Battle of the Smithsonian ,170823638.90181482
X-Men Origins: Wolverine ,170823638.90181482
The Matrix Revolutions ,199222141.8234443
Frozen ,157328571.42857143
The Matrix Reloaded ,199222141.8234443
Thor: The Dark World ,178305714.2857143
Mad Max: Fury Road ,154611820.86199638
Angels & Demons ,170823638.90181482
Thor ,162914201.18343195
Bolt ,170216383.30757344
G-Force ,170823638.90181482
Wrath of the Titans ,159631830.7001015
Dark Shadows ,106421220.46673432
Mission: Impossible - Rogue Nation ,154611820.86199638
The Wolfman ,168060430.33725014
The Legend of Tarzan ,183244592.34608984
Bee Movie ,176745305.72941744
Kung Fu Panda 2 ,162914201.18343195
The Last Airbender ,168060430.33725014
Mission: Impossible III ,181792670.84846485
White House Down ,157328571.42857143
Mars Needs Moms ,162914201.18343195
Flushed Away ,180580719.7094751
Pan ,154611820.86199638
Mr. Peabody & Sherman ,149647174.5853247
Troy ,226365398.16772375
Madagascar 3: Europe's Most Wanted ,154310769.67676476
Die Another Day ,192888806.66049954
Ghostbusters ,146595673.87687188
Armageddon ,209857084.52429563
Men in Black II ,190172062.90471786
Beowulf ,176745305.72941744
Kung Fu Panda 3 ,147613699.38990572
Mission: Impossible - Ghost Protocol ,157483727.8106509
Rise of the Guardians ,154310769.67676476
Fun with Dick and Jane ,125097972.39734197
The Last Samurai ,185940665.70188135
Exodus: Gods and Kings ,144486927.18583077
Star Trek ,170823638.90181482
Spider-Man ,188813691.026827
How to Train Your Dragon 2 ,149647174.5853247
Gods of Egypt ,142523571.82473654
Stealth ,168882262.73641166
Watchmen ,148047153.71490616
Lethal Weapon 4 ,209857084.52429563
Hulk ,181956222.86541247
G.I. Joe: Retaliation ,136351428.57142857
Sahara ,162627364.11654457
Final Fantasy: The Spirits Within ,189034767.90077055
Captain America: The First Avenger ,152053254.43786982
The World Is Not Enough ,197996404.3148222
Master and Commander: The Far Side of the World ,199222141.8234443
The Twilight Saga: Breaking Dawn - Part 2 ,127705464.56008118
Happy Feet 2 ,146622781.06508875
The Incredible Hulk ,170216383.30757344
Miami Vice             ,nan
The BFG ,142523571.82473654
The Revenant ,139150638.77579674
Turbo ,141595714.2857143
Rango ,146622781.06508875
Penguins of Madagascar ,136230531.34664044
The Bourne Ultimatum ,129613224.20157279
Kung Fu Panda ,147520865.5332303
Ant-Man ,133996911.41373019
The Hunger Games: Catching Fire ,136351428.57142857
The Twilight Saga: Breaking Dawn - Part 2 ,127705464.56008118
Home ,139150638.77579674
War of the Worlds ,165129323.5644914
Bad Boys II ,172659189.5803184
Puss in Boots ,141192307.69230768
Salt ,123244315.5806501
Noah ,129006184.9873489
The Adventures of Tintin ,146622781.06508875
Harry Potter and the Prisoner of Azkaban ,168157152.9245948
Australia ,147520865.5332303
After Earth ,136351428.57142857
Dinosaur ,180889855.07246378
Harry Potter and the Deathly Hallows: Part II ,nan
Night at the Museum: Secret of the Tomb ,131070283.94714648
Megamind ,145652372.95895013
Harry Potter and the Sorcerer's Stone ,172476978.01165196
R.I.P.D. ,136351428.57142857
Godzilla Resurgence ,nan
Pirates of the Caribbean: The Curse of the Black Pearl ,185940665.70188135
Harry Potter and the Deathly Hallows: Part I ,nan
The Hunger Games: Mockingjay - Part 1 ,129006184.9873489
The Da Vinci Code ,151493892.3737207
Rio 2 ,106301096.42957549
X-Men 2 ,146096237.3371925
Fast Five ,135761834.3195266
Sherlock Holmes: A Game of Shadows ,135761834.3195266
Clash of the Titans ,140050358.6143751
Total Recall ,121556291.39072847
The 13th Warrior ,124664402.71673991
The Bourne Legacy ,133026525.5834179
Batman & Robin ,190246683.2504146
How the Grinch Stole Christmas ,174505507.2463768
The Day After Tomorrow ,161689570.11980268
Mission: Impossible II ,177342995.16908213
The Perfect Storm ,198624154.589372
Fantastic 4: Rise of the Silver Surfer ,153179264.9654951
Life of Pi ,127705464.56008118
Ghost Rider ,129613224.20157279
Jason Bourne ,122163061.5640599
Charlie's Angels: Full Throttle ,159377713.45875543
Prometheus ,138347586.60675463
Stuart Little 2 ,163004625.34690103
Elysium ,120618571.42857143
The Chronicles of Riddick ,135819238.90063426
RoboCop ,103204947.98987912
Speed Racer ,136173106.64605874
How Do You Know ,134448344.26980013
Knight and Day ,131087135.6630551
Oblivion ,125862857.14285715
Star Wars: Episode III - Revenge of the Sith ,141360708.80899644
Star Wars: Episode II - Attack of the Clones ,156212765.9574468
"Monsters, Inc. ",158678819.7707198
The Wolverine ,125862857.14285715
Star Wars: Episode I - The Phantom Menace ,168663603.6755893
The Croods ,141595714.2857143
Asterix at the Olympic Games ,88512519.31993818
Windtalkers ,156212765.9574468
The Huntsman: Winter's War ,117072933.99889074
Teenage Mutant Ninja Turtles ,129006184.9873489
Gravity ,104885714.2857143
Dante's Peak ,176548922.05638474
Teenage Mutant Ninja Turtles: Out of the Shadows ,137433444.25956738
Fantastic Four ,123689456.6895971
Night at the Museum ,133314625.28887422
San Andreas ,113382001.96546401
Tomorrow Never Dies ,167417081.26036486
The Patriot ,156061835.7487923
Ocean's Twelve ,142286821.70542637
Mr. & Mrs. Smith ,150117566.87681037
Insurgent ,113382001.96546401
The Aviator ,142286821.70542637
Gulliver's Travels ,125485121.3184801
The Green Hornet ,130331360.94674556
The A-Team             ,nan
300: Rise of an Empire ,113525442.78886703
The Smurfs ,119470414.20118342
Home on the Range ,142286821.70542637
Allegiant ,111982806.43372157
Real Steel ,119470414.20118342
The Smurfs 2 ,110130000.00000001
Speed 2: Cruise Control ,243515754.5605307
Ender's Game ,115374285.71428572
Live Free or Die Hard ,129613224.20157279
The Lord of the Rings: The Fellowship of the Ring ,128322871.64066906
Around the World in 80 Days ,142286821.70542637
Ali ,147640293.17797408
The Cat in the Hat ,144768089.7250362
"I, Robot ",155221987.31501058
Kingdom of Heaven ,162627364.11654457
Stuart Little ,195063124.2508989
The Princess and the Frog ,119576547.23127037
The Martian ,111320511.0206374
"10,000 B.C.             ",nan
The Island ,157623445.22065088
Town & Country ,124183424.16838941
Gone in Sixty Seconds ,127686956.52173914
Gladiator ,146130628.01932368
Minority Report ,138553931.54486588
Harry Potter and the Chamber of Secrets ,135837187.78908417
Casino Royale ,181792670.84846485
Planet of the Apes ,137981582.40932158
Terminator 2: Judgment Day ,182967016.85805035
Public Enemies ,113882425.9345432
American Gangster ,117830203.81961162
True Lies ,189566681.63448587
The Taking of Pelham 1 2 3 ,113882425.9345432
Little Fockers ,112040286.8915001
The Other Guys ,112040286.8915001
Eraser ,155781879.90664122
Django Unchained ,106421220.46673432
The Hunchback of Notre Dame ,155781879.90664122
The Emperor's New Groove ,141874396.1352657
The Expendables 2 ,97907522.82939558
National Treasure ,129351656.09584214
Eragon ,121195113.89897656
Where the Wild Things Are ,113882425.9345432
Pan ,154611820.86199638
Epic ,104885714.2857143
The Tourist ,112040286.8915001
End of Days ,121731122.65281661
Blood Diamond ,121195113.89897656
The Wolf of Wall Street ,104885714.2857143
Batman Forever ,160340685.7392444
Starship Troopers ,159807213.93034828
Cloud Atlas ,108549644.87606901
Legend of the Guardians: The Owls of Ga'Hoole ,89632229.51320007
Catwoman ,129351656.09584214
Hercules ,103204947.98987912
Treasure Planet ,190172062.90471786
Land of the Lost ,113882425.9345432
The Expendables 3 ,92884453.1908912
Point Break ,108228274.60339746
Son of the Mask ,105082296.81376725
In the Heart of the Sea ,103074547.24133092
The Adventures of Pluto Nash ,135837187.78908417
Green Zone ,112040286.8915001
The Peanuts Movie ,102043801.7689176
The Spanish Prisoner ,15219734.660033168
The Mummy Returns ,135221950.76113513
Gangs of New York ,135837187.78908417
The Flowers of War ,102092899.40828402
Surf's Up ,117830203.81961162
The Stepford Wives ,116416490.48625793
Black Hawk Down ,126943055.81657584
The Campaign ,101100159.44339761
The Fifth Element ,141543532.33830845
Sex and the City 2 ,112040286.8915001
The Road to El Dorado ,134780676.32850242
Ice Age: Continental Drift ,101100159.44339761
Cinderella ,97920819.87926437
The Lovely Bones ,74023576.85745308
Finding Nemo ,124845875.54269177
The Lord of the Rings: The Return of the King ,124845875.54269177
The Lord of the Rings: The Two Towers ,127686956.52173913
Seventh Son ,98044700.59038515
Lara Croft: Tomb Raider ,158678819.7707198
Transcendence ,103204947.98987912
Jurassic Park III ,128322871.64066906
Rise of the Planet of the Apes ,101006804.73372781
The Spiderwick Chronicles ,102129829.98454405
A Good Day to Die Hard ,96494857.14285715
The Alamo ,138406272.0225511
The Incredibles ,119003523.60817477
Cutthroat Island ,157133872.0244595
Percy Jackson & the Olympians: The Lightning Thief ,106438272.5469251
Men in Black ,136977611.94029853
Toy Story 2 ,131997602.87654814
Unstoppable ,112040286.8915001
Rush Hour 2 ,124183424.16838941
What Lies Beneath ,141874396.1352657
Cloudy with a Chance of Meatballs ,113882425.9345432
Ice Age: Dawn of the Dinosaurs ,102494183.34108889
The Secret Life of Walter Mitty ,94397142.85714287
Charlie's Angels ,130524444.44444446
The Departed ,109075602.50907892
Mulan ,134908125.76561862
Tropic Thunder ,104399381.76197837
The Girl with the Dragon Tattoo ,97748520.71005917
Die Hard with a Vengeance ,144306617.16531995
Sherlock Holmes ,102494183.34108889
Ben-Hur ,nan
Atlantis: The Lost Empire ,165577898.89118588
Alvin and the Chipmunks: The Road Chip ,92767092.51719782
Valkyrie ,85108191.65378672
You Don't Mess with the Zohan ,102129829.98454405
Pixels ,90705601.5723712
A.I. Artificial Intelligence ,137981582.40932158
The Haunted Mansion ,119533285.09406659
Contact ,136977611.94029853
Hollow Man ,134780676.32850242
The Interpreter ,100078377.91787358
Percy Jackson: Sea of Monsters ,94397142.85714287
Lara Croft Tomb Raider: The Cradle of Life ,126174023.15484807
Now You See Me 2 ,91622296.17304492
The Saint ,103494195.68822555
Spy Game ,126943055.81657584
Mission to Mars ,127686956.52173914
Rio ,97748520.71005917
Bicentennial Man ,146664003.1961646
Volcano ,136977611.94029853
The Devil's Own ,130889718.07628524
K-19: The Widowmaker ,135837187.78908417
Fantastic Four ,123689456.6895971
Conan the Barbarian ,50634482.758620694
Cinderella Man ,110086215.70966093
The Nutcracker in 3D ,100836258.20235008
Seabiscuit ,115548842.2575977
Twister ,143319329.5141099
The Fast and the Furious ,52433001.3155422
Cast Away ,127686956.52173914
Happy Feet ,121195113.89897656
The Bourne Supremacy ,97013742.0718816
Air Force One ,129367744.61028193
Ocean's Eleven ,117284345.04792333
The Three Musketeers ,81457100.59171598
Hotel Transylvania ,90458037.39672418
Enchanted ,100155673.24666987
Hannibal             ,nan
Safe House ,90458037.39672418
102 Dalmatians ,120593236.71497585
Tower Heist ,81457100.59171598
The Holiday ,103015846.81413008
Enemy of the State ,134908125.76561862
It's Complicated ,96800062.04436173
Ocean's Thirteen ,100155673.24666987
Open Season ,103015846.81413008
Divergent ,87724205.79139724
Enemy at the Gates ,93827476.03833866
The Rundown ,112892547.03328511
Last Action Hero ,118392075.55862705
Memoirs of a Geisha ,106333276.53774068
The Fast and the Furious: Tokyo Drift ,103015846.81413008
Arthur Christmas ,108609467.4556213
Meet Joe Black ,134908125.76561862
Collateral Damage ,115461609.62072155
All That Jazz ,nan
Mirror Mirror ,90458037.39672418
Scott Pilgrim vs. the World ,67224172.13490006
The Core ,79688856.72937772
Nutty Professor II: The Klumps ,92218357.48792271
Scooby-Doo ,114103237.74283071
Dredd ,37247427.16335701
Click ,84836579.7292836
Creepshow ,20253793.10344828
Cats & Dogs: The Revenge of Kitty Galore ,95234243.85777508
Jumper ,96455950.54095827
Hellboy II: The Golden Army ,96455950.54095827
Zodiac ,76589632.48274755
The 6th Day ,116337004.83091788
Bruce Almighty ,107579956.58465993
The Expendables ,89632229.51320007
Mission: Impossible ,124625503.92531297
The Hunger Games ,83008551.96405277
The Hangover Part II ,86887573.96449704
Batman Returns ,139283851.07896608
Over the Hedge ,96956091.11918126
Lilo & Stitch ,108669750.23126735
Charlotte's Web ,nan
Deep Impact ,112423438.13801551
RED 2 ,88104000.0
The Longest Yard ,102580337.36582042
Alvin and the Chipmunks: Chipwrecked ,81457100.59171598
Grown Ups 2 ,83908571.42857143
Get Smart ,90782071.09737249
Something's Gotta Give ,106251808.97250363
Shutter Island ,89632229.51320007
Four Christmases ,90782071.09737249
Robots ,93823479.29800647
Face/Off ,121757877.28026535
Bedtime Stories ,90782071.09737249
Road to Perdition ,108669750.23126735
Just Go with It ,86887573.96449704
Daredevil             ,nan
Con Air ,114148009.95024876
Eagle Eye ,90782071.09737249
Cold Mountain ,104923661.36034733
The Book of Eli ,89632229.51320007
Flubber ,121757877.28026535
The Haunting ,117331202.55693167
Space Jam ,124625503.92531297
The Pink Panther ,78776824.03433476
The Day the Earth Stood Still ,90782071.09737249
Conspiracy Theory ,114148009.95024876
Fury ,70179364.6331178
Six Days Seven Nights ,104928542.26214781
Yogi Bear ,89632229.51320007
Spirit: Stallion of the Cimarron ,108669750.23126735
Zookeeper ,86887573.96449704
Lost in Space ,119918334.01388322
The Manchurian Candidate ,103481324.87667371
Déjà Vu ,nan
Hotel Transylvania 2 ,82459637.79306473
Bewitched             ,nan
Fantasia 2000 ,117331202.55693167
The Time Machine ,108669750.23126735
Mighty Joe Young ,134908125.76561862
Swordfish ,110385265.92745726
The Legend of Zorro ,93823479.29800647
What Dreams May Come ,127413229.88975091
Little Nicky ,113499516.90821257
The Brothers Grimm ,110086215.70966093
Mars Attacks! ,109047315.93464884
Evolution ,nan
The Edge ,nan
Surrogates ,91105940.74763456
Thirteen Days ,113499516.90821257
Daylight ,124625503.92531297
Walking with Dinosaurs 3D ,83908571.42857143
Battlefield Earth ,62424734.29951692
Looney Tunes: Back in Action ,106251808.97250363
Nine ,91105940.74763456
Timeline ,106251808.97250363
The Postman ,121757877.28026535
Babe: Pig in the City ,119918334.01388322
The Last Witch Hunter ,92767092.51719782
Red Planet ,99312077.294686
Arthur and the Invisibles ,104227797.95311984
Oceans ,45552970.37381728
A Sound of Thunder ,65050945.64661782
Pompeii ,82563958.3919033
Top Cat Begins ,8245963.779306473
A Beautiful Mind ,80029317.79740651
The Lion King ,74178266.72653794
Journey 2: The Mysterious Island ,84072764.16872011
Cloudy with a Chance of Meatballs 2 ,81810857.14285715
Red Dragon ,105953006.47548565
Hidalgo ,129351656.09584214
Jack and Jill ,85801479.28994083
2 Fast 2 Furious ,100939218.52387846
The Little Prince ,83696532.3599607
The Invasion ,94264163.0556893
The Adventures of Rocky & Bullwinkle ,107824541.06280194
The Secret Life of Pets ,76351913.47753744
The League of Extraordinary Gentlemen ,103595513.74819104
Despicable Me 2 ,79713142.85714287
Independence Day ,116836409.9299809
The Lost World: Jurassic Park ,111104063.01824214
Madagascar ,93823479.29800647
Children of Men ,92108286.5632222
X-Men ,106405797.10144928
Wanted ,85108191.65378672
The Rock ,116836409.9299809
Ice Age: The Meltdown ,96956091.11918126
50 First Dates ,97013742.0718816
Hairspray ,88372652.86470872
Exorcist: The Beginning ,64675828.04792107
Inspector Gadget ,109998002.39712344
Now You See Me ,78664285.71428572
Grown Ups ,89632229.51320007
The Terminal ,77610993.65750529
Constantine             ,nan
Hotel for Dogs ,39858849.07709012
Vertical Limit ,106405797.10144928
Charlie Wilson's War ,88372652.86470872
Shark Tale ,97013742.0718816
Dreamgirls ,84836579.7292836
Life             ,nan
Be Cool ,66301925.370591246
Munich ,87568580.67813937
Tears of the Sun ,92970332.85094067
Killers ,84030215.16862507
The Man from U.N.C.L.E. ,77305910.43099819
Spanglish ,103481324.87667371
Monster House ,90896335.42423242
Bandits ,110385265.92745726
First Knight ,88187377.15658443
Anna and the King ,109998002.39712344
Immortals ,81457100.59171598
Hostage ,65050945.64661782
Titan A.E. ,106405797.10144928
Hollywood Homicide ,99611070.91172215
Soldier ,112423438.13801551
Carriers ,nan
Monkeybone ,103486186.80699117
Flight of the Phoenix ,58208245.24312896
Unbreakable ,106405797.10144928
Minions ,76275164.95858487
Sucker Punch ,89059763.31360947
Snake Eyes ,103429563.08697428
Sphere ,112423438.13801551
The Angry Birds Movie ,74315862.45146976
Fool's Gold ,79434312.21020094
Funny People ,85411819.45090741
The Kingdom ,82481142.67372814
Talladega Nights: The Ballad of Ricky Bobby ,88472433.1462529
Dr. Dolittle 2 ,99346739.33471152
Braveheart ,115445293.73225597
Jarhead ,87568580.67813937
The Simpsons Movie ,88372652.86470872
The Majestic ,99346739.33471152
Driven ,99346739.33471152
Two Brothers ,77171198.02677941
The Village ,77610993.65750529
Doctor Dolittle ,107177011.02490813
Signs ,97802775.20814061
Shrek 2 ,194027484.1437632
Cars ,145434136.67877188
Runaway Bride ,102664802.23731522
xXx ,95086031.45235893
The SpongeBob Movie: Sponge Out of Water ,76275164.95858487
Ransom ,124625503.92531297
Inglourious Basterds ,85411819.45090741
Hook ,125565599.80454434
Hercules ,103204947.98987912
Die Hard 2 ,130906775.34386143
S.W.A.T. ,106251808.97250363
Sleepy Hollow             ,nan
Vanilla Sky ,93827476.03833866
Lady in the Water ,84836579.7292836
AVP: Alien vs. Predator ,77610993.65750529
Alvin and the Chipmunks: The Squeakquel ,85411819.45090741
We Were Soldiers ,101877890.84181313
Olympus Has Fallen ,73420000.0
Star Trek: Insurrection ,86940792.16006532
Battle Los Angeles ,76026627.21893491
Big Fish ,92970332.85094067
Wolf ,115388414.90794793
War Horse ,71682248.52071005
The Monuments Men ,72243463.59291539
The Abyss ,136984966.44295302
Wall Street: Money Never Sleeps ,78428200.82405007
Dracula Untold ,72243463.59291539
The Siege ,104928542.26214781
Stardust ,82481142.67372814
Seven Years in Tibet ,106538142.62023218
The Dilemma ,76026627.21893491
Bad Company ,95086031.45235893
Doom ,75058783.43840519
I Spy ,95086031.45235893
Underworld: Awakening ,74494854.32671402
Rock of Ages ,79815915.35005075
Hart's War ,81502312.67345051
Killer Elite ,38013313.609467454
Rollerball ,95086031.45235893
Ballistic: Ecks vs. Sever ,95086031.45235893
Hard Rain ,104928542.26214781
Osmosis Jones ,96587107.68652509
Legends of Oz: Dorothy's Return ,73420000.0
Blackhat ,72152183.06893164
Sky Captain and the World of Tomorrow ,90546159.2670895
Basic Instinct 2 ,84836579.7292836
Escape Plan ,52442857.14285715
The Legend of Hercules ,72243463.59291539
The Sum of All Fears ,92369287.69657724
The Twilight Saga: Eclipse ,76187395.08622007
The Score ,93827476.03833866
Despicable Me ,77307797.95513506
Money Train ,109031666.3026862
Ted 2 ,70090692.12410502
Agora ,79717698.15418024
Mystery Men ,95331602.07750699
Hall Pass ,39099408.284023665
The Insider ,99731522.17339192
The Finest Hours ,nan
Body of Lies ,79434312.21020094
Dinner for Schmucks ,nan
Abraham Lincoln: Vampire Hunter ,73430642.12204668
Entrapment ,96798242.10946864
Last Man Standing             ,nan
The X Files ,98932625.56145366
The Last Legion ,41240571.33686407
Saving Private Ryan ,104928542.26214781
Need for Speed ,68115265.67332022
What Women Want ,99312077.294686
Ice Age ,80143940.79555966
Dreamcatcher ,90314037.62662809
Lincoln ,69173793.30337732
The Matrix ,92398322.01358369
Apollo 13 ,99411225.15833153
Total Recall ,121556291.39072847
The Santa Clause 2 ,81502312.67345051
Les Misérables ,64916944.48470794
You've Got Mail ,97433646.3862801
Step Brothers ,73760432.76661515
The Mask of Zorro ,97433646.3862801
Due Date ,72826186.47947507
Unbroken ,67083216.19342142
Space Cowboys ,92218357.48792271
Cliffhanger ,118392075.55862705
Broken Arrow ,77890939.95332061
The Kid ,85124637.68115942
World Trade Center ,76352921.75635524
Mona Lisa Smile ,86329594.7901592
The Dictator ,69173793.30337732
Eyes Wide Shut ,95331602.07750699
Annie ,67083216.19342142
Focus ,51640348.16790679
This Means War ,69173793.30337732
Blade: Trinity ,84078576.4622974
Red Dawn ,39743689.94234466
Primary Colors ,97433646.3862801
Resident Evil: Retribution ,69173793.30337732
Death Race ,51064914.99227203
The Long Kiss Goodnight ,101258221.93931678
Proof of Life ,92218357.48792271
Zathura: A Space Adventure ,81313682.05827229
Fight Club ,92398322.01358369
We Are Marshall ,78776824.03433476
The Missing             ,nan
Hudson Hawk ,125565599.80454434
Lucky Numbers ,92218357.48792271
"I, Frankenstein ",67083216.19342142
Oliver Twist ,62548986.19867098
Elektra ,53792128.13085705
Sin City: A Dame to Kill For ,67083216.19342142
Random Hearts ,93864962.04554534
Everest ,56691000.982732005
Perfume: The Story of a Murderer ,60597556.94948828
Austin Powers in Goldmember ,85577428.30712304
Astro Boy ,74023576.85745308
Jurassic Park ,106552868.00276434
Wyatt Earp ,103849573.41715313
Clear and Present Danger ,102201167.48989673
Dragon Blade ,66998455.706865095
Littleman ,77564872.895345
U-571 ,87962125.60386474
The American President ,99411225.15833153
The Love Guru ,70356105.10046369
3000 Miles to Graceland ,57952264.61191506
The Hateful Eight ,45352800.7861856
Blades of Glory ,71876424.32996309
Hop ,68423964.49704142
300 ,78776824.03433476
Meet the Fockers ,103481324.87667371
Marley & Me ,68086553.32302937
The Green Mile ,87998401.91769876
Wild Hogs ,nan
Chicken Little ,187646958.59601295
Gone Girl ,62955018.27382626
The Bourne Identity ,81502312.67345051
GoldenEye ,92997597.72876175
The General's Daughter ,139330803.03635636
The Truman Show ,89938750.51041241
The Prince of Egypt ,104928542.26214781
Daddy Day Care ,79688856.72937772
2 Guns ,63980285.71428572
Cats & Dogs ,82788949.44559294
The Italian Job ,79688856.72937772
Two Weeks Notice ,81502312.67345051
Antz ,157392813.3932217
Couples Retreat ,68329455.56072593
Days of Thunder ,112205807.43759552
Cheaper by the Dozen 2 ,75058783.43840519
The Scorch Trials ,62875473.81721186
Eat Pray Love ,67224172.13490006
The Family Man ,85124637.68115942
RED ,64983366.39707006
Any Given Sunday ,80665201.75789052
The Horse Whisperer ,89938750.51041241
Collateral ,84078576.4622974
The Scorpion King ,81502312.67345051
Ladder 49 ,71143410.85271318
Jack Reacher ,63852732.28004059
Deep Blue Sea ,87998401.91769876
This Is It ,68329455.56072593
Contagion ,65165680.47337278
Kangaroo Jack ,79688856.72937772
Coraline ,68329455.56072593
The Happening ,54469242.6584235
Man on Fire ,90546159.2670895
The Shaggy Dog ,60597556.94948828
Starsky & Hutch ,77610993.65750529
Jingle All the Way ,93469127.94398472
Hellboy ,85372093.02325581
A Civil Action ,89938750.51041241
ParaNorman ,63852732.28004059
The Jackal ,91318407.96019901
Paycheck ,79688856.72937772
Up Close & Personal ,93469127.94398472
The Tale of Despereaux ,68086553.32302937
Rules of Engagement             ,nan
The Tuxedo ,81502312.67345051
Under Siege 2: Dark Territory ,96204411.44354664
Jack Ryan: Shadow Recruit ,61922968.79392747
Joy ,61844728.34479855
London Has Fallen ,61081530.78202995
Alien: Resurrection ,114148009.95024876
Shooter ,71876424.32996309
The Boxtrolls ,61922968.79392747
Practical Magic ,71951000.40832993
The Lego Movie ,61922968.79392747
Miss Congeniality 2: Armed and Fabulous ,56294087.57880389
Reign of Fire ,81502312.67345051
Gangster Squad ,62931428.571428575
Year One ,68329455.56072593
Invictus ,68329455.56072593
State of Play ,nan
Duplicity ,68329455.56072593
My Favorite Martian ,95331602.07750699
The Sentinel ,72717068.33938594
Planet 51 ,79717698.15418024
